request_id,method,spending_changes_valid,installments_match_option,plan_min_balance_under_baseline,floor,plan_safe_under_baseline,has_plan
request_01,full_payment,True,True,22985.27,18000,True,True
request_02,installments,True,True,31542258.82,29158400,True,True
request_03,wait,True,True,3640437.00,2668700,True,True
request_04,wait,True,True,34216559.51,30686600,True,True
request_05,not_recommended,True,True,8575.15,13100,False,False
request_06,full_payment,True,True,722.42,800,False,True
request_07,installments,True,True,93627.72,93000,True,True
request_08,wait,True,True,614.60,800,False,True
request_09,full_payment,True,True,675.35,600,True,True
request_10,not_recommended,True,True,188826.85,225400,False,False
request_11,full_payment,True,True,34034539.17,34140600,False,True
request_12,installments,True,True,35799.66,43200,False,True
request_13,wait,True,True,1072.38,1300,False,True
request_14,not_recommended,True,True,2816.29,2200,True,False
request_15,not_recommended,True,True,1205.08,1200,True,False
request_16,full_payment,True,True,139010.89,122400,True,True
request_17,installments,True,True,183973.52,166100,True,True
request_18,wait,True,True,1946.05,1400,True,True
request_19,partial_payment,True,True,89156.15,92800,False,True
request_20,not_recommended,True,True,73351.68,64500,True,False
request_21,full_payment,True,True,1933.23,1800,True,True
request_22,installments,True,True,522.59,500,True,True
request_23,wait,True,True,28330.51,27000,True,True
request_24,not_recommended,True,True,64539.29,51000,True,False
request_25,not_recommended,True,True,23755183.40,23379100,True,False
