request_id,categories,extra_debit,residual,remaining_residual,interpretation
request_02,entertainment,1298171.69,1107626.289999999,-190545.4,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_02,dining,1083819.45,1107626.289999999,23806.84,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_02,entertainment+dining,2381991.1399999997,1107626.289999999,-1274364.85,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_03,transport,91041.06,98737.0,7695.94,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_06,entertainment,35.01,-79.48000000000002,-114.49,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_08,utilities,76.83,0.6300000000001091,-76.2,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_11,entertainment,1600926.75,-190778.38000000268,-1791705.13,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_18,dining,85.63,84.04999999999995,-1.58,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_20,utilities,7665.16,3451.679999999993,-4213.48,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_20,dining,3423.79,3451.679999999993,27.89,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_20,utilities+dining,11088.95,3451.679999999993,-7637.27,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_21,transport,41.2,129.7800000000002,88.58,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_21,dining,83.44,129.7800000000002,46.34,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_21,transport+dining,124.64,129.7800000000002,5.14,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_22,entertainment,20.87,-10.840000000000032,-31.71,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
request_23,transport,888.44,-791.8300000000017,-1680.27,Hypothetical extra occurrence before minimum; NOT a fitted prediction policy
