variant,request_id,uncapped,min_balance,safe,true_safe,error,norm_error,earliest,true_earliest,date_match,amount_improved,amount_regressed,date_gained,date_lost
mean/all/90dates,request_01,False,48241.27,25256.0,25256.0,0.0,0.0,2024-03-03,2024-03-03,True,False,False,False,False
mean/all/90dates,request_02,True,47495165.49,18336765.49,17229139.2,1107626.29,0.024069413924985857,2025-09-15,2025-09-15,True,False,False,False,False
mean/all/90dates,request_03,True,3640437.0,971737.0,873000.0,98737.0,0.017981606264796942,2019-11-15,2019-11-15,True,False,False,False,False
mean/all/90dates,request_04,True,41295886.07,10609286.07,8401800.0,2207486.07,0.17391365870952497,2024-06-15,2024-06-15,True,False,False,False,False
mean/all/90dates,request_05,True,8575.15,0,737.0,-737.0,-0.04758522727272727,,,True,False,False,False,False
mean/all/90dates,request_06,True,1323.82,523.82,603.3,-79.48,-0.12811089619600244,2026-01-15,2026-01-15,True,False,False,False,False
mean/all/90dates,request_07,True,179237.22,86237.22,87170.56,-933.34,-0.004728166160081036,2024-10-23,2024-10-23,True,False,False,False,False
mean/all/90dates,request_08,True,1085.2,285.2,284.57,0.63,0.0006321493076459918,,2025-04-15,False,False,False,False,False
mean/all/90dates,request_09,False,841.96,166.61,166.61,0.0,0.0,2026-07-04,2026-07-04,True,False,False,False,False
mean/all/90dates,request_10,True,188826.85,0,12700.0,-12700.0,-0.047619047619047616,,,True,False,False,False,False
mean/all/90dates,request_11,True,46460466.62,12319866.62,12510645.0,-190778.38,-0.014552126620900139,2025-05-15,2025-07-15,False,False,False,False,False
mean/all/90dates,request_12,False,103570.23,60370.23,65164.0,-4793.77,-0.07356469829967462,,2026-04-05,False,False,False,False,False
mean/all/90dates,request_13,True,1790.78,490.78,433.4,57.38,0.060938827527612566,,2024-05-15,False,False,False,False,False
mean/all/90dates,request_14,True,2816.29,616.29,597.74,18.55,0.003426175612278814,,,True,False,False,False,False
mean/all/90dates,request_15,True,1205.08,5.08,83.05,-77.97,-0.02115875169606513,,,True,False,False,False,False
mean/all/90dates,request_16,False,261510.89,122500.0,122500.0,0.0,0.0,2023-08-12,2023-08-12,True,False,False,False,False
mean/all/90dates,request_17,True,409123.67,243023.67,243849.58,-825.91,-0.003007683903860067,2026-04-15,2026-03-15,False,False,False,False,False
mean/all/90dates,request_18,True,1946.05,546.05,462.0,84.05,0.02589260959305011,2026-09-15,2026-09-15,True,False,False,False,False
mean/all/90dates,request_19,True,117976.15,25176.15,28820.0,-3643.85,-0.09187720625315175,2024-09-15,2024-09-15,True,False,False,False,False
mean/all/90dates,request_20,True,73351.68,8851.68,5400.0,3451.68,0.011365426407639118,,,True,False,False,False,False
mean/all/90dates,request_21,True,3473.13,1574.4,1543.35,31.05,0.01972179878048792,2026-04-03,2026-04-15,False,False,False,False,False
mean/all/90dates,request_22,True,964.62,464.62,475.46,-10.84,-0.014818865345181101,2025-01-15,2025-01-15,True,False,False,False,False
mean/all/90dates,request_23,True,35360.17,8360.17,9152.0,-791.83,-0.02082886153198653,2025-07-15,2025-07-15,True,False,False,False,False
mean/all/90dates,request_24,True,64539.29,13539.29,13420.0,119.29,0.001088412408759132,,,True,False,False,False,False
mean/all/90dates,request_25,True,23755183.4,376083.4,1425000.0,-1048916.6,-0.017338610817244117,,,True,False,False,False,False
mean/all/calendar,request_01,False,48241.27,25256.0,25256.0,0.0,0.0,2024-03-03,2024-03-03,True,False,False,False,False
mean/all/calendar,request_02,True,47495165.49,18336765.49,17229139.2,1107626.29,0.024069413924985857,2025-09-15,2025-09-15,True,False,False,False,False
mean/all/calendar,request_03,True,3640437.0,971737.0,873000.0,98737.0,0.017981606264796942,2019-11-15,2019-11-15,True,False,False,False,False
mean/all/calendar,request_04,True,41295886.07,10609286.07,8401800.0,2207486.07,0.17391365870952497,2024-06-15,2024-06-15,True,False,False,False,False
mean/all/calendar,request_05,True,14268.85,1168.85,737.0,431.85,0.027882877066115697,,,True,True,False,False,False
mean/all/calendar,request_06,True,1323.82,523.82,603.3,-79.48,-0.12811089619600244,2026-01-15,2026-01-15,True,False,False,False,False
mean/all/calendar,request_07,True,179237.22,86237.22,87170.56,-933.34,-0.004728166160081036,2024-10-23,2024-10-23,True,False,False,False,False
mean/all/calendar,request_08,True,1085.2,285.2,284.57,0.63,0.0006321493076459918,2025-04-15,2025-04-15,True,False,False,True,False
mean/all/calendar,request_09,False,841.96,166.61,166.61,0.0,0.0,2026-07-04,2026-07-04,True,False,False,False,False
