date,balance
2024-09-05,218945.56
2024-09-06,218945.56
2024-09-07,218945.56
2024-09-08,212156.12
2024-09-09,212156.12
2024-09-10,212156.12
2024-09-11,212156.12
2024-09-12,205039.66
2024-09-13,188384.66
2024-09-14,188384.66
2024-09-15,188384.66
2024-09-16,182457.35
2024-09-17,182457.35
2024-09-18,182457.35
2024-09-19,182457.35
2024-09-20,179237.22
2024-09-21,179237.22
2024-09-22,179237.22
2024-09-23,328237.22
2024-09-24,328237.22
2024-09-25,328237.22
2024-09-26,321120.76
2024-09-27,321120.76
2024-09-28,321120.76
2024-09-29,321120.76
2024-09-30,321120.76
2024-10-01,321120.76
2024-10-02,321120.76
2024-10-03,321120.76
2024-10-04,286920.76
2024-10-05,286920.76
2024-10-06,286920.76
2024-10-07,280993.45
2024-10-08,274204.01
2024-10-09,274204.01
2024-10-10,267087.55
2024-10-11,263867.42
2024-10-12,263867.42
2024-10-13,247212.42
2024-10-14,247212.42
2024-10-15,247212.42
2024-10-16,247212.42
2024-10-17,247212.42
2024-10-18,247212.42
2024-10-19,247212.42
2024-10-20,247212.42
2024-10-21,247212.42
2024-10-22,247212.42
2024-10-23,396212.42
2024-10-24,389095.96
2024-10-25,389095.96
2024-10-26,389095.96
2024-10-27,389095.96
2024-10-28,383168.65
2024-10-29,383168.65
2024-10-30,383168.65
2024-10-31,383168.65
2024-11-01,379948.52
2024-11-02,379948.52
2024-11-03,379948.52
2024-11-04,345748.52
2024-11-05,345748.52
2024-11-06,345748.52
2024-11-07,338632.06
2024-11-08,331842.62
2024-11-09,331842.62
2024-11-10,331842.62
2024-11-11,331842.62
2024-11-12,331842.62
2024-11-13,315187.62
2024-11-14,315187.62
2024-11-15,315187.62
2024-11-16,315187.62
2024-11-17,315187.62
2024-11-18,309260.31
2024-11-19,309260.31
2024-11-20,309260.31
2024-11-21,302143.85
2024-11-22,298923.72
2024-11-23,447923.72
2024-11-24,447923.72
2024-11-25,447923.72
2024-11-26,447923.72
2024-11-27,447923.72
2024-11-28,447923.72
2024-11-29,447923.72
2024-11-30,447923.72
2024-12-01,447923.72
2024-12-02,447923.72
2024-12-03,447923.72
