request_id,option_id,method,n,interval_days,last_date,max_installment_months,method_allowed,count_cap_ok,deadline_ok,schedule_total_exact,fee_exact
request_01,payment_option_01,full_payment,1,0,2024-03-03,0,True,True,True,True,True
request_01,payment_option_02,installments,15,30,2025-04-30,0,False,False,False,True,True
request_01,payment_option_03,installments,6,31,2024-08-12,0,False,False,False,True,True
request_01,payment_option_04,installments,24,28,2025-12-21,0,False,False,False,True,True
request_02,payment_option_05,installments,3,30,2025-10-07,7,True,True,True,True,True
request_02,payment_option_06,full_payment,1,0,2025-08-05,7,False,True,True,True,True
request_02,payment_option_07,installments,18,31,2027-01-21,7,True,False,False,True,True
request_03,payment_option_08,full_payment,1,0,2019-09-03,2,True,True,True,True,True
request_03,payment_option_09,installments,21,28,2021-03-30,2,True,False,False,True,True
request_03,payment_option_10,installments,24,31,2021-08-19,2,True,False,False,True,True
request_04,payment_option_11,full_payment,1,0,2024-06-04,0,True,True,True,True,True
request_04,payment_option_12,installments,15,30,2025-07-29,0,False,False,False,True,True
request_05,payment_option_13,full_payment,1,0,2025-11-06,4,True,True,True,True,True
request_05,payment_option_14,installments,18,31,2027-04-20,4,True,False,False,True,True
request_05,payment_option_15,installments,24,30,2027-10-11,4,True,False,False,True,True
request_06,payment_option_16,full_payment,1,0,2026-01-03,0,True,True,True,True,True
request_06,payment_option_17,installments,21,28,2027-07-24,0,False,False,False,True,True
request_06,payment_option_18,installments,6,30,2026-06-16,0,False,False,False,True,True
request_07,payment_option_19,installments,3,28,2024-11-07,12,True,True,True,True,True
request_07,payment_option_20,full_payment,1,0,2024-09-05,12,False,True,True,True,True
request_07,payment_option_21,installments,15,30,2025-11-13,12,True,False,False,True,True
request_08,payment_option_22,full_payment,1,0,2025-02-07,0,True,True,True,True,True
request_08,payment_option_23,installments,18,31,2026-07-19,0,False,False,False,True,True
request_09,payment_option_24,full_payment,1,0,2026-07-04,2,True,True,True,True,True
request_09,payment_option_25,installments,21,28,2028-01-18,2,True,False,False,True,True
request_09,payment_option_26,installments,24,31,2028-06-30,2,True,False,False,True,True
request_10,payment_option_27,full_payment,1,0,2024-12-06,6,False,True,True,True,True
request_10,payment_option_28,installments,15,30,2026-02-06,6,True,False,False,True,True
request_11,payment_option_29,full_payment,1,0,2025-05-03,0,True,True,True,True,True
request_11,payment_option_30,installments,18,31,2026-10-26,0,False,False,False,True,True
request_11,payment_option_31,installments,6,28,2025-09-20,0,False,False,False,True,True
request_11,payment_option_32,installments,24,30,2027-03-27,0,False,False,False,True,True
request_12,payment_option_33,installments,3,31,2026-06-20,11,True,True,True,True,True
request_12,payment_option_34,full_payment,1,0,2026-04-05,11,False,True,True,True,True
request_12,payment_option_35,installments,21,28,2027-10-17,11,True,False,False,True,True
request_13,payment_option_36,full_payment,1,0,2024-03-07,0,True,True,True,True,True
request_13,payment_option_37,installments,15,30,2025-05-04,0,False,False,False,True,True
request_13,payment_option_38,installments,24,28,2025-12-25,0,False,False,False,True,True
request_14,payment_option_39,full_payment,1,0,2025-08-04,0,False,True,True,True,True
request_14,payment_option_40,installments,18,31,2027-01-20,0,False,False,False,True,True
request_15,payment_option_41,full_payment,1,0,2026-01-06,0,False,True,True,True,True
request_15,payment_option_42,installments,21,28,2027-08-03,0,False,False,False,True,True
request_15,payment_option_43,installments,24,31,2027-12-23,0,False,False,False,True,True
request_16,payment_option_44,full_payment,1,0,2023-08-12,2,True,True,True,True,True
request_16,payment_option_45,installments,15,30,2024-10-05,2,True,False,False,True,True
request_16,payment_option_46,installments,6,31,2024-01-17,2,True,False,False,True,True
request_17,payment_option_47,installments,3,30,2026-04-30,3,True,True,True,True,True
request_17,payment_option_48,full_payment,1,0,2026-03-01,3,False,True,True,True,True
request_17,payment_option_49,installments,18,31,2027-08-13,3,True,False,False,True,True
request_18,payment_option_50,full_payment,1,0,2026-07-07,0,True,True,True,True,True
request_18,payment_option_51,installments,21,28,2028-01-25,0,False,False,False,True,True
request_19,payment_option_52,full_payment,1,0,2024-09-04,2,False,True,True,True,True
request_19,payment_option_53,installments,2,28,2024-10-02,2,True,True,True,True,True
request_19,payment_option_54,installments,3,31,2024-11-11,2,True,False,False,True,True
request_20,payment_option_55,full_payment,1,0,2026-02-07,11,True,True,True,True,True
request_20,payment_option_56,installments,18,31,2027-07-19,11,True,False,False,True,True
request_21,payment_option_57,full_payment,1,0,2026-04-03,0,True,True,True,True,True
request_21,payment_option_58,installments,21,28,2027-10-18,0,False,False,False,True,True
request_21,payment_option_59,installments,6,30,2026-09-07,0,False,False,False,True,True
request_21,payment_option_60,installments,24,31,2028-03-30,0,False,False,False,True,True
request_22,payment_option_61,installments,3,28,2025-02-02,6,True,True,True,True,True
request_22,payment_option_62,full_payment,1,0,2024-12-05,6,False,True,True,True,True
request_22,payment_option_63,installments,15,30,2026-02-05,6,True,False,False,True,True
request_23,payment_option_64,full_payment,1,0,2025-05-07,12,True,True,True,True,True
request_23,payment_option_65,installments,18,31,2026-10-30,12,True,False,False,True,True
request_23,payment_option_66,installments,24,30,2027-03-31,12,True,False,False,True,True
request_24,payment_option_67,full_payment,1,0,2026-01-04,0,False,True,True,True,True
request_24,payment_option_68,installments,21,28,2027-07-18,0,False,False,False,True,True
request_25,payment_option_69,full_payment,1,0,2024-03-06,3,True,True,True,True,True
request_25,payment_option_70,installments,15,30,2025-05-03,3,True,False,False,True,True
request_25,payment_option_71,installments,24,28,2025-12-24,3,True,False,False,True,True
