request_id,currency,min_balance,min_date,predicted_safe,true_safe,safe_error,predicted_earliest,true_earliest,date_match
request_01,ZAR,48241.27,2024-03-13,25256.0,25256.0,0.0,2024-03-03,2024-03-03,True
request_02,IDR,47495165.49,2025-08-13,18336765.49,17229139.2,1107626.29,2025-09-15,2025-09-15,True
request_03,IDR,3640437.0,2019-09-14,971737.0,873000.0,98737.0,2019-11-15,2019-11-15,True
request_04,IDR,41295886.07,2024-06-13,10609286.07,8401800.0,2207486.07,2024-06-15,2024-06-15,True
request_05,ZAR,8575.15,2026-02-03,0,737.0,-737.0,,,True
request_06,EUR,1323.82,2026-01-13,523.82,603.3,-79.48,2026-01-15,2026-01-15,True
request_07,INR,179237.22,2024-09-20,86237.22,87170.56,-933.34,2024-10-23,2024-10-23,True
request_08,EUR,1085.2,2025-02-13,285.2,284.57,0.63,,2025-04-15,False
request_09,EUR,841.96,2026-09-25,166.61,166.61,0.0,2026-07-04,2026-07-04,True
request_10,INR,188826.85,2025-03-03,0,12700.0,-12700.0,,,True
request_11,IDR,46460466.62,2025-05-14,12319866.62,12510645.0,-190778.38,2025-05-15,2025-07-15,False
request_12,ZAR,103570.23,2026-07-01,60370.23,65164.0,-4793.77,,2026-04-05,False
request_13,EUR,1790.78,2024-05-14,490.78,433.4,57.38,,2024-05-15,False
request_14,EUR,2816.29,2025-08-14,616.29,597.74,18.55,,,True
request_15,EUR,1205.08,2026-01-14,5.08,83.05,-77.97,,,True
request_16,INR,261510.89,2023-09-14,122500.0,122500.0,0.0,2023-08-12,2023-08-12,True
request_17,INR,409123.67,2026-03-14,243023.67,243849.58,-825.91,2026-04-15,2026-03-15,False
request_18,EUR,1946.05,2026-07-14,546.05,462.0,84.05,2026-09-15,2026-09-15,True
request_19,INR,117976.15,2024-09-14,25176.15,28820.0,-3643.85,2024-09-15,2024-09-15,True
request_20,INR,73351.68,2026-02-13,8851.68,5400.0,3451.68,,,True
request_21,USD,3473.13,2026-04-12,1574.4,1543.35,31.05,2026-04-03,2026-04-15,False
request_22,EUR,964.62,2024-12-14,464.62,475.46,-10.84,2025-01-15,2025-01-15,True
request_23,ZAR,35360.17,2025-05-14,8360.17,9152.0,-791.83,2025-07-15,2025-07-15,True
request_24,INR,64539.29,2026-01-13,13539.29,13420.0,119.29,,,True
request_25,IDR,23755183.4,2024-03-14,376083.4,1425000.0,-1048916.6,,,True
