variant,nmae,bias,uncapped_nmae,uncapped_bias,exact,uncapped_exact,dates,improved,regressed,date_gained,date_lost
mean/all/90dates,0.03296880881010813,-0.0058464025271656155,0.035745501045382315,-0.003456922137117418,3,0,19,0,0,0,0
mean/all/calendar,0.03030702075812065,0.004993327276162864,0.03607978661681029,0.005944437233527219,4,0,22,2,1,3,0
median/all/90dates,0.034920696602648044,-0.007394815015939068,0.036901317726829835,-0.004132411075985818,3,0,20,8,11,1,0
median/all/calendar,0.030787370283103695,0.0039353800800805356,0.03665163128940916,0.0046849762858101615,4,0,23,10,11,4,0
trimmed20/all/90dates,0.033805252390144654,-0.006087197177516624,0.03644050956325919,-0.0034428247863210588,3,0,19,7,12,0,0
trimmed20/all/calendar,0.030126739735626358,0.004241080873320937,0.03586516635193614,0.005048905801572544,4,0,22,9,12,3,0
winsor20/all/90dates,0.03342455636556958,-0.005419649819005418,0.03625107404844437,-0.0029118995882489378,3,0,19,8,11,0,0
winsor20/all/calendar,0.030089337553428106,0.004808781689947718,0.03582063994455727,0.005724740107080616,4,0,22,10,11,3,0
mean_sig1/all/90dates,0.042200109142819096,0.004956686339709517,0.04913652864462601,0.007002513596479487,3,0,17,10,9,0,2
mean_sig1/all/calendar,0.042077419979826634,0.014301189330725547,0.05009216664265075,0.017025225393720887,4,0,21,11,10,3,1
mean_sig2/all/90dates,0.033240590713756596,-0.005365906039015456,0.036205088649430214,-0.0030209402271193266,3,0,19,6,13,0,0
mean_sig2/all/calendar,0.030427707582869314,0.005094185317909692,0.036223461408177754,0.006064506330844871,4,0,22,7,14,3,0
mean_sig3/all/90dates,0.032908885685392034,-0.005871057446092989,0.03567866545512433,-0.0034907746940540402,3,0,19,8,11,0,0
mean_sig3/all/calendar,0.03020349582792601,0.004917508093958168,0.03595654265229287,0.005854176302331151,4,0,22,9,12,3,0
median_sig1/all/90dates,0.038362714686362265,0.0012798377391627796,0.044568201910748825,0.0026253128815428945,3,0,17,10,9,0,2
median_sig1/all/calendar,0.0382400255233698,0.01062434073017881,0.045523839908773574,0.012648024678784297,4,0,21,11,10,3,1
median_sig2/all/90dates,0.03563016756948486,-0.00716060802492738,0.03773446044372133,-0.0038421276525814683,3,0,20,7,12,1,0
median_sig2/all/calendar,0.030677640947317727,0.0033696489377653704,0.036521001127759196,0.00401148683067306,4,0,23,9,12,4,0
median_sig3/all/90dates,0.03491492277277464,-0.007384496124639395,0.036904901252171926,-0.004130583813915687,3,0,20,8,11,1,0
median_sig3/all/calendar,0.030870462093921427,0.004016996629749825,0.03675055011181123,0.004782138844940268,4,0,23,10,11,4,0
trimmed20_sig1/all/90dates,0.03863634323863136,0.001318617029949022,0.044893950187259654,0.002671478703907469,3,0,17,11,8,0,2
trimmed20_sig1/all/calendar,0.03851365407563889,0.01066312002096505,0.045849588185284396,0.01269419050114887,4,0,21,12,9,3,1
trimmed20_sig2/all/90dates,0.03370578684451416,-0.005878091249584549,0.036101212288115574,-0.002973003246532696,3,0,19,10,9,0,0
trimmed20_sig2/all/calendar,0.02949564485010603,0.004289645792343475,0.03511386291679289,0.005106721181361279,4,0,22,12,9,3,0
trimmed20_sig3/all/90dates,0.033852814831304485,-0.006055986764062185,0.036473549989388045,-0.0033820880045757847,3,0,19,6,13,0,0
trimmed20_sig3/all/calendar,0.030091617629916228,0.004229223706328602,0.03582335432132884,0.0050347901265816696,4,0,22,8,13,3,0
winsor20_sig1/all/90dates,0.03863634323863136,0.001318617029949022,0.044893950187259654,0.002671478703907469,3,0,17,11,8,0,2
winsor20_sig1/all/calendar,0.03851365407563889,0.01066312002096505,0.045849588185284396,0.01269419050114887,4,0,21,12,9,3,1
winsor20_sig2/all/90dates,0.03336116563234715,-0.004833374478603776,0.03634863021918087,-0.0023869740837720883,4,1,19,12,7,0,0
winsor20_sig2/all/calendar,0.0296259965733579,0.004704430950219409,0.03526904353971179,0.005600513035975488,5,1,22,13,8,3,0
winsor20_sig3/all/90dates,0.03343578252207952,-0.005322593252430278,0.03628400088474191,-0.002815918420873755,3,0,19,9,10,0,0
winsor20_sig3/all/calendar,0.030197358871206455,0.004969768645831291,0.035949236751436256,0.005916391245037251,4,0,22,11,10,3,0
mean/fixed_protected/90dates,0.06501499579154926,0.051216170588515665,0.07739880451374913,0.06097163165299484,4,0,22,4,15,4,1
mean/fixed_protected/calendar,0.07855096272517637,0.06855895570396094,0.09351305086330519,0.08161780440947732,4,0,22,4,16,4,1
mean/fixed_only/90dates,0.06501499579154926,0.051216170588515665,0.07739880451374913,0.06097163165299484,4,0,22,4,15,4,1
mean/fixed_only/calendar,0.07855096272517637,0.06855895570396094,0.09351305086330519,0.08161780440947732,4,0,22,4,16,4,1
mean/exclude_flexible/90dates,0.06501499579154926,0.051216170588515665,0.07739880451374913,0.06097163165299484,4,0,22,4,15,4,1
mean/exclude_flexible/calendar,0.07855096272517637,0.06855895570396094,0.09351305086330519,0.08161780440947732,4,0,22,4,16,4,1
hold_today/all/90dates,0.03296880881010813,-0.0058464025271656155,0.035745501045382315,-0.003456922137117418,3,0,19,0,0,0,0
