date,balance
2026-04-05,189580.17
2026-04-06,189580.17
2026-04-07,187445.28
2026-04-08,185940.48
2026-04-09,185940.48
2026-04-10,185940.48
2026-04-11,184236.89
2026-04-12,184236.89
2026-04-13,184236.89
2026-04-14,184236.89
2026-04-15,184236.89
2026-04-16,184236.89
2026-04-17,180665.77
2026-04-18,178408.17
2026-04-19,178408.17
2026-04-20,178408.17
2026-04-21,178408.17
2026-04-22,178408.17
2026-04-23,178408.17
2026-04-24,178408.17
2026-04-25,178408.17
2026-04-26,178408.17
2026-04-27,176273.28
2026-04-28,176273.28
2026-04-29,176273.28
2026-04-30,176273.28
2026-05-01,164481.28
2026-05-02,164481.28
2026-05-03,164481.28
2026-05-04,164481.28
2026-05-05,160971.56
2026-05-06,160971.56
2026-05-07,158836.67
2026-05-08,155895.64
2026-05-09,153638.04
2026-05-10,153638.04
2026-05-11,151934.45
2026-05-12,151934.45
2026-05-13,151934.45
2026-05-14,151934.45
2026-05-15,151934.45
2026-05-16,151934.45
2026-05-17,149799.56
2026-05-18,149799.56
2026-05-19,149799.56
2026-05-20,149799.56
2026-05-21,149799.56
2026-05-22,149799.56
2026-05-23,149799.56
2026-05-24,149799.56
2026-05-25,149799.56
2026-05-26,149799.56
2026-05-27,147664.67
2026-05-28,147664.67
2026-05-29,146228.44
2026-05-30,143970.84
2026-05-31,143970.84
2026-06-01,132178.84
2026-06-02,132178.84
2026-06-03,132178.84
2026-06-04,132178.84
2026-06-05,128669.12
2026-06-06,126534.23
2026-06-07,126534.23
2026-06-08,125029.43
2026-06-09,125029.43
2026-06-10,125029.43
2026-06-11,123325.84
2026-06-12,123325.84
2026-06-13,123325.84
2026-06-14,123325.84
2026-06-15,123325.84
2026-06-16,121190.95
2026-06-17,121190.95
2026-06-18,121190.95
2026-06-19,119754.72
2026-06-20,117497.12
2026-06-21,117497.12
2026-06-22,117497.12
2026-06-23,117497.12
2026-06-24,117497.12
2026-06-25,117497.12
2026-06-26,115362.23
2026-06-27,115362.23
2026-06-28,115362.23
2026-06-29,115362.23
2026-06-30,115362.23
2026-07-01,103570.23
2026-07-02,103570.23
2026-07-03,103570.23
