request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Verified payments against the 90-day ledger and reserve.
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Verified payments against the 90-day ledger and reserve.
request_28,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_29,3221.57,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_30,282.03,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_31,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_32,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_33,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_34,72904.63,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_35,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_36,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_37,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_38,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_39,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_40,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_41,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_42,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_43,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_44,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_45,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
request_46,0,not_affordable,not_recommended,none,,none,No eligible plan passes the deadline and reserve checks.
